year,species_code,comp_type,iss_length,region
2018,3005012,female,114.23783861408856,ai
2018,3005012,male,124.80462137243056,ai
2018,3005012,total,191.87246854939056,ai
2022,3005012,female,104.03316223123808,ai
2022,3005012,male,105.17950732443384,ai
2022,3005012,total,154.91181212677668,ai
1982,10110,female,442.3024759491223,bs_shelf
1982,10110,male,328.54230654455176,bs_shelf
1982,10110,total,643.0661190681608,bs_shelf
1982,10115,female,180.85168441227967,bs_shelf
1982,10115,male,90.17928046265963,bs_shelf
1982,10115,total,236.4042989736789,bs_shelf
1982,10130,female,1056.9373599711605,bs_shelf
1982,10130,male,1000.8578393449696,bs_shelf
1982,10130,total,1610.5481532408287,bs_shelf
1982,10210,female,2215.946946174068,bs_shelf
1982,10210,male,1426.3373235997078,bs_shelf
1982,10210,total,2594.801314852162,bs_shelf
1982,10285,female,1595.5914188748548,bs_shelf
1982,10285,male,1438.1211375146167,bs_shelf
1982,10285,total,2514.6728806183155,bs_shelf
1982,21720,female,1438.1101966321485,bs_shelf
1982,21720,male,1370.5408952043838,bs_shelf
1982,21720,total,2431.717465454087,bs_shelf
1982,21740,female,1011.162474026463,bs_shelf
1982,21740,male,920.8034365318944,bs_shelf
1982,21740,total,1238.5486227319218,bs_shelf
1983,10110,female,840.4992185769867,bs_shelf
1983,10110,male,546.1606304037851,bs_shelf
1983,10110,total,1076.478328189644,bs_shelf
1983,10112,female,125.50274865956771,bs_shelf
1983,10112,male,103.03642297813884,bs_shelf
1983,10112,total,205.72780384660103,bs_shelf
1983,10115,female,194.38904373295088,bs_shelf
1983,10115,male,173.03700129820925,bs_shelf
1983,10115,total,367.6737760772263,bs_shelf
1983,10130,female,1213.842030029186,bs_shelf
1983,10130,male,1274.981125640999,bs_shelf
1983,10130,total,1825.2267048160843,bs_shelf
1983,10210,female,3352.0372482572675,bs_shelf
1983,10210,male,2232.6207488197115,bs_shelf
1983,10210,total,4367.019922127759,bs_shelf
1983,10285,female,1233.5150858056886,bs_shelf
1983,10285,male,1151.451824844251,bs_shelf
1983,10285,total,1986.6017134021067,bs_shelf
1983,21720,female,1168.599244861064,bs_shelf
1983,21720,male,1207.65352598143,bs_shelf
1983,21720,total,1171.4263961465747,bs_shelf
1983,21740,female,1698.0989284705374,bs_shelf
1983,21740,male,1393.973701879528,bs_shelf
1983,21740,total,1440.3435131406584,bs_shelf
1984,10110,female,750.1052719701872,bs_shelf
1984,10110,male,473.58301484648274,bs_shelf
1984,10110,total,1053.669502762042,bs_shelf
1984,10112,female,108.79909667112013,bs_shelf
1984,10112,male,93.46638404698436,bs_shelf
1984,10112,total,198.88949976576,bs_shelf
1984,10115,female,116.05871331711704,bs_shelf
1984,10115,male,105.73994719070473,bs_shelf
1984,10115,total,220.50841409202943,bs_shelf
1984,10130,female,1004.4744706902356,bs_shelf
1984,10130,male,1075.4203206732436,bs_shelf
1984,10130,total,1612.1552847361952,bs_shelf
1984,10210,female,3166.751241864575,bs_shelf
1984,10210,male,1814.8858208599577,bs_shelf
1984,10210,total,3830.992259045725,bs_shelf
1984,10285,female,824.0344418826089,bs_shelf
1984,10285,male,1136.6414000370653,bs_shelf
1984,10285,total,1557.5225484863076,bs_shelf
1984,21720,female,1498.1008644350063,bs_shelf
1984,21720,male,1558.1516408023317,bs_shelf
1984,21720,total,2423.937461912964,bs_shelf
1984,21740,female,1518.7524582801277,bs_shelf
1984,21740,male,1298.978741350248,bs_shelf
1984,21740,total,1903.5745700863713,bs_shelf
1985,10110,female,857.6263152818267,bs_shelf
1985,10110,male,486.0637800155125,bs_shelf
1985,10110,total,1239.660437736216,bs_shelf
1985,10115,female,38.1909976933888,bs_shelf
1985,10115,male,32.707834352589316,bs_shelf
1985,10115,total,25.855704298933688,bs_shelf
1985,10130,female,1280.910929670075,bs_shelf
1985,10130,male,1309.8721622019193,bs_shelf
1985,10130,total,2140.879950451811,bs_shelf
1985,10210,female,1500.8537474032944,bs_shelf
1985,10210,male,943.287861327538,bs_shelf
1985,10210,total,1533.6660510627903,bs_shelf
1985,10285,female,1249.1277058667877,bs_shelf
1985,10285,male,1272.0543855046376,bs_shelf
1985,10285,total,2000.4937656171692,bs_shelf
1985,21720,female,744.4552878656699,bs_shelf
1985,21720,male,695.341505878541,bs_shelf
1985,21720,total,897.421161865705,bs_shelf
1985,21740,female,549.6051795026507,bs_shelf
1985,21740,male,493.93040561478375,bs_shelf
1985,21740,total,321.13112901320955,bs_shelf
1986,10110,female,737.7922887199082,bs_shelf
1986,10110,male,495.6463352567165,bs_shelf
1986,10110,total,1011.3954673492568,bs_shelf
1986,10115,female,34.04996606114477,bs_shelf
1986,10115,male,40.66672696748115,bs_shelf
1986,10115,total,97.30005417804908,bs_shelf
1986,10130,female,1110.2216610773896,bs_shelf
1986,10130,male,940.6837486148904,bs_shelf
1986,10130,total,1570.696709903219,bs_shelf
1986,10210,female,2322.8682769546294,bs_shelf
1986,10210,male,1046.2997369809732,bs_shelf
1986,10210,total,2320.808871526667,bs_shelf
1986,10285,female,1028.5840859957557,bs_shelf
1986,10285,male,1251.3639075516871,bs_shelf
1986,10285,total,1587.9160902129445,bs_shelf
1986,21720,female,1392.6186903082455,bs_shelf
1986,21720,male,1316.2646841166068,bs_shelf
1986,21720,total,2139.042396120365,bs_shelf
1986,21740,female,1312.4367893285848,bs_shelf
1986,21740,male,1023.6190618751386,bs_shelf
1986,21740,total,1459.4526647377315,bs_shelf
1987,10110,female,1148.0586579180156,bs_shelf
1987,10110,male,716.5075059801453,bs_shelf
1987,10110,total,1623.4060153965827,bs_shelf
1987,10112,female,3.4815563337115827,bs_shelf
1987,10112,male,5.7568181846089255,bs_shelf
1987,10112,total,10.80766315799639,bs_shelf
1987,10115,female,46.120704550779095,bs_shelf
1987,10115,male,47.61918333529099,bs_shelf
1987,10115,total,96.67896173596452,bs_shelf
1987,10130,female,1240.2206422047243,bs_shelf
