year,species_code,comp_type,ae,ae_al,al,base,bin,grwth,region
1998,21720,total,81.26631536283693,79.70424731181708,199.50873375254855,232.28055390992617,5cm,Annual,bs
1999,21720,female,145.42212975074565,138.64532773740046,166.23496255222287,193.1535164354136,5cm,Annual,bs
1999,21720,male,147.40992457774445,142.83139531997756,157.67293491145307,182.9174724975157,5cm,Annual,bs
1999,21720,total,199.292019629168,195.03177421849423,227.91059345684084,256.52497297222544,5cm,Annual,bs
2000,21720,female,129.27632656193023,116.23562998134804,134.44131995457022,153.74715558541024,5cm,Annual,bs
2000,21720,male,178.01288421684592,169.33182315216055,173.09263504284883,191.1810100644383,5cm,Annual,bs
2000,21720,total,167.6964962887381,157.41322092668568,174.93163107002837,189.63808550768667,5cm,Annual,bs
2001,21720,female,185.26842994700095,187.6708969885713,182.4789897823047,203.8882761213848,5cm,Annual,bs
2001,21720,male,225.78153547732632,220.74669745978207,251.9242653691642,281.2711702377065,5cm,Annual,bs
2001,21720,total,276.9541416579805,282.78261779138404,324.3633523087965,346.6516351686312,5cm,Annual,bs
2002,21720,female,144.65692503318894,136.56634135247964,211.1600850562905,251.989722600112,5cm,Annual,bs
2002,21720,male,146.83754288802308,138.74425344362544,202.8176832647023,236.8717237487959,5cm,Annual,bs
2002,21720,total,183.389774771408,177.19365882188907,328.0991585636443,368.9411569696936,5cm,Annual,bs
2003,21720,female,187.89797208608888,183.90291854784792,155.92073660346423,169.30631182911142,5cm,Annual,bs
2003,21720,male,230.368480809046,223.0077473069644,197.833823714835,220.95096105520764,5cm,Annual,bs
2003,21720,total,277.4294237498413,273.9949010413818,254.24713300453445,270.79754387122694,5cm,Annual,bs
2004,21720,female,185.28871192071085,182.9590029587517,222.27894163284913,257.250488994103,5cm,Annual,bs
2004,21720,male,157.46677785877483,155.16936561714115,234.83468513548297,263.68577711130547,5cm,Annual,bs
2004,21720,total,212.63193512835508,212.16761678719692,325.2911716087279,353.30635423845627,5cm,Annual,bs
2005,21720,female,133.78491311326147,127.70417700599904,147.4409691209922,158.83851836468108,5cm,Annual,bs
2005,21720,male,161.15705101739692,152.73121448166577,177.1838072864585,192.63813003363617,5cm,Annual,bs
2005,21720,total,176.30284069107026,168.87351487133714,204.8364374754161,217.26054435060732,5cm,Annual,bs
2006,21720,female,353.0767020614672,348.5905170088174,370.3989912243904,406.41320126076147,5cm,Annual,bs
2006,21720,male,384.9776539129657,367.58078630247894,338.3919541725293,382.20461974727544,5cm,Annual,bs
2006,21720,total,504.4174857491562,495.6626039588645,528.5328461379415,567.61648346416,5cm,Annual,bs
2007,21720,female,124.09300358585205,122.51690014218292,116.3298945941628,119.3338150550224,5cm,Annual,bs
2007,21720,male,106.08584161742324,105.14737137626746,101.86306731827162,104.44386096675667,5cm,Annual,bs
2007,21720,total,45.788163197779824,45.51279772634462,54.44015475014177,54.5681874832508,5cm,Annual,bs
2008,21720,female,64.73555336787803,62.60261175542042,213.7332852072093,226.7587555754885,5cm,Annual,bs
2008,21720,male,63.04655550883804,60.537910888096334,216.5127315263095,235.0614560005517,5cm,Annual,bs
2008,21720,total,83.19482221259095,81.00589752995627,269.7452067252363,277.30638621619494,5cm,Annual,bs
2009,21720,female,142.57488102445492,140.72211727361196,310.67427456974696,339.14491869992816,5cm,Annual,bs
2009,21720,male,150.3034250126699,145.10282011164747,280.61840924867727,304.41345460915574,5cm,Annual,bs
2009,21720,total,150.10927114130516,147.7381348007357,201.37946755565952,205.6672037096834,5cm,Annual,bs
2010,21720,female,52.86281503723464,51.02215835969257,140.66067101310497,148.882888886559,5cm,Annual,bs
2010,21720,male,30.435615384862544,31.708707179163827,139.4706194890381,147.63633995572874,5cm,Annual,bs
2010,21720,total,44.97947859731573,45.304883917353784,168.3436171137662,174.54805816853465,5cm,Annual,bs
2011,21720,female,44.89645215552704,44.66971128523772,164.80353969370842,174.15879347342954,5cm,Annual,bs
2011,21720,male,46.33526654157741,45.615659288248246,178.11661862001233,187.0494918079438,5cm,Annual,bs
2011,21720,total,50.160353207106695,49.58454188565312,129.18472261246382,131.51506487896427,5cm,Annual,bs
2012,21720,female,31.757853036101373,31.97296853516529,168.52523939805965,175.62992949463725,5cm,Annual,bs
2012,21720,male,42.546476732997846,42.117951368929305,166.01161139841312,173.31430996574213,5cm,Annual,bs
2012,21720,total,59.888654482946336,59.85223259459703,173.88125392743936,177.4799045273863,5cm,Annual,bs
2013,21720,female,55.10551510650307,55.07872099897495,123.04468144219152,127.31398926298034,5cm,Annual,bs
2013,21720,male,54.24944057319148,53.01751072897048,124.94844643199788,133.56409133186372,5cm,Annual,bs
2013,21720,total,66.55844904599559,66.41111210573646,141.60912706697843,145.522648036602,5cm,Annual,bs
2014,21720,female,140.03157979783333,134.1735752990445,134.76140298306706,141.49591030897358,5cm,Annual,bs
2014,21720,male,127.38945018733288,127.3978039345456,129.09240399097544,135.3662597291389,5cm,Annual,bs
2014,21720,total,138.42125558670014,136.6410376062756,133.66036044704683,136.99413789341932,5cm,Annual,bs
2015,21720,female,89.04033780602086,92.90640670651244,302.17788754912436,326.5174440130637,5cm,Annual,bs
2015,21720,male,65.1405083857745,65.63972121665971,297.78673141845303,325.30136177022445,5cm,Annual,bs
2015,21720,total,81.12192143882787,83.50583847964391,391.3572979007555,409.6178742402216,5cm,Annual,bs
2016,21720,female,113.45459542555736,113.15013219624312,324.92333841406383,361.963422584149,5cm,Annual,bs
2016,21720,male,170.38948381879447,162.21629016444527,352.3313984420011,389.9300597992222,5cm,Annual,bs
2016,21720,total,156.7131149618572,156.00045870418114,528.0998221125848,563.7792279536155,5cm,Annual,bs
2017,21720,female,113.7297373363579,117.7284552973641,338.83382185644746,377.5106671025541,5cm,Annual,bs
2017,21720,male,142.13672933660555,138.39581460483774,353.1077057160589,403.99555319750584,5cm,Annual,bs
2017,21720,total,143.80935583502833,146.114536506236,536.6095081185933,572.7564756511163,5cm,Annual,bs
2018,21720,female,137.922514492473,129.62774675597308,338.0065522461165,393.6990161948224,5cm,Annual,bs
2018,21720,male,115.22501319025156,117.46423684147064,313.0478749725824,355.46004503833916,5cm,Annual,bs
2018,21720,total,144.76900017995897,142.80638019514035,500.8416716344467,563.4633316172484,5cm,Annual,bs
2019,21720,female,113.95935344057575,110.17155821626588,267.1417330513768,276.99419499398044,5cm,Annual,bs
2019,21720,male,119.54415362193956,115.06239472324552,255.11941909257828,261.2528733111625,5cm,Annual,bs
2019,21720,total,131.73731546974045,127.8020202885146,309.48213688672394,312.49320725097994,5cm,Annual,bs
2021,21720,female,142.23292213579123,142.21543774815055,399.2944385274126,450.29009028909167,5cm,Annual,bs
2021,21720,male,193.10014986636708,191.5861484735876,424.6213283532726,483.4489264140073,5cm,Annual,bs
2021,21720,total,187.8953640733926,190.3944776253716,623.61141546136,677.4757040017334,5cm,Annual,bs
1982,21740,female,138.88946952703583,132.1820576651295,125.8187879062129,143.31755750040955,1cm,Annual,bs
1982,21740,male,114.50495267841944,106.88737694055288,113.21685303432147,131.54613511173065,1cm,Annual,bs
1982,21740,total,182.8823400375979,176.2116029789297,178.14577104914028,196.39942744792185,1cm,Annual,bs
1983,21740,female,102.94191793912496,98.69987668948228,153.5064469500865,184.40880025230595,1cm,Annual,bs
1983,21740,male,70.41965309711904,68.96691352435721,140.55788662327367,164.01105165358422,1cm,Annual,bs
1983,21740,total,58.51459052736071,57.77230587330534,64.8681394396722,67.02077671878445,1cm,Annual,bs
