year,species_code,comp_type,iss_age,iss_length,region
2019,30060,female,220.5689235128357,707.5385831654794,goa
2019,30060,male,228.55613832995752,521.0786878586136,goa
2019,30060,total,339.65521549331027,758.5588193728855,goa
2019,30420,female,83.86369218945701,121.1834431992416,goa
2019,30420,male,62.92586254498567,194.07322856723945,goa
2019,30420,total,143.54761182306908,251.06962896277284,goa
2021,10130,female,90.61257635070262,1298.3370641019735,goa
2021,10130,male,88.55004018283068,1251.2065643214655,goa
2021,10130,total,173.84594500935657,2090.8630370374203,goa
2021,21720,female,117.07205498801002,732.6869059844549,goa
2021,21720,male,105.22733736857543,655.6877864339511,goa
2021,21720,total,166.19579801404407,1149.2110059996223,goa
2021,21740,female,80.87769149927746,402.05358533201024,goa
2021,21740,male,75.4856083024896,332.60642687110686,goa
2021,21740,total,84.03877888890891,435.8854685188557,goa
2021,30060,female,180.7829546330005,283.4371108551371,goa
2021,30060,male,228.06256530625433,313.08970384196164,goa
2021,30060,total,339.2120039402706,394.83717110450056,goa
2021,30420,female,100.76296378438614,156.24823617918128,goa
2021,30420,male,105.02110982633374,264.3121915067699,goa
2021,30420,total,193.06696887396137,335.3900031114542,goa
1990,10200,female,56.32473750457839,902.3634118058096,goa
1990,10200,male,34.73566433617756,517.505723889133,goa
1990,10200,total,88.17373494499269,1278.4324487336155,goa
1993,10200,female,47.6381915044837,1802.242104191007,goa
1993,10200,male,34.2820400978294,974.4812926855918,goa
1993,10200,total,68.30205435962608,2292.4665270965957,goa
1996,10200,female,78.29998348092677,1479.3579714395769,goa
1996,10200,male,51.88679571985927,1107.5690232900608,goa
1996,10200,total,127.0105036002052,2228.233117140511,goa
1996,10261,female,28.89603767467721,769.1322087232344,goa
1996,10261,male,16.166402741922127,308.2842984363222,goa
1996,10261,total,43.42844418843018,592.650846157736,goa
1996,10262,female,44.62982074759985,1434.161013680433,goa
1996,10262,male,33.94542140882565,402.1670944033651,goa
1996,10262,total,67.63115293337377,1730.14137872575,goa
1999,10200,female,78.51159333802632,1426.385300873207,goa
1999,10200,male,71.70122371759268,1008.789436933228,goa
1999,10200,total,146.21372161712796,1940.7603203208553,goa
1999,10261,female,70.73515336514589,320.213043661854,goa
1999,10261,male,43.27976345289312,299.8851970134803,goa
1999,10261,total,100.2002354000696,496.01021007339983,goa
1999,10262,female,84.6343086922463,1451.1675527431876,goa
1999,10262,male,50.753247337762595,394.4946315319067,goa
1999,10262,total,131.69309530989938,1638.7047026271457,goa
2001,10200,female,142.6202384602675,894.6371258724164,goa
2001,10200,male,101.1265989926034,594.6228488561674,goa
2001,10200,total,212.1247637485169,1181.2480450279097,goa
2001,10261,female,116.5794639907745,941.6079310353086,goa
2001,10261,male,90.44811282045998,614.6141135309397,goa
2001,10261,total,184.0595419669615,1359.776147981204,goa
2001,10262,female,145.31336285845975,1152.1055572806931,goa
2001,10262,male,88.58422355817513,405.26204417193,goa
2001,10262,total,221.1088714645449,1454.2167513476995,goa
2003,10200,female,104.8554009710024,1724.4183267861204,goa
2003,10200,male,92.83205923973722,1376.092302232781,goa
2003,10200,total,176.3611208246531,2491.3894682558976,goa
2003,10261,female,111.09380540139128,1154.5173475081356,goa
2003,10261,male,63.54846273034975,392.8666444487813,goa
2003,10261,total,153.3750749006589,947.4731871355508,goa
2003,10262,female,169.95150509384803,2241.5797329794186,goa
2003,10262,male,90.04547689811828,905.9026473543156,goa
2003,10262,total,239.7642168353312,2867.874053821673,goa
2005,10200,female,110.89589601642034,2075.0816224095583,goa
2005,10200,male,89.51449383569427,1324.5148365472155,goa
2005,10200,total,188.2704572466758,2881.8205724671257,goa
2005,10261,female,82.95199032716776,1168.0866291427578,goa
2005,10261,male,57.04052301838056,653.7058512365611,goa
2005,10261,total,122.02962153478404,1405.7694836090695,goa
2005,10262,female,101.38515010896758,1764.3560438440188,goa
2005,10262,male,47.595092154622634,456.5168264287392,goa
2005,10262,total,132.95656432814354,1724.9657970542453,goa
2007,10200,female,84.82143493747802,1339.082172771238,goa
2007,10200,male,67.90691896836195,1056.9882263373552,goa
2007,10200,total,132.85452510021574,1790.5373055050202,goa
2007,10261,female,99.13784107088398,1109.3850749523044,goa
2007,10261,male,53.2260511122527,594.9702563649442,goa
2007,10261,total,139.69491828279868,1238.126238797717,goa
2007,10262,female,97.80180062589174,2926.4760349196968,goa
2007,10262,male,71.27544788999961,1076.98122150049,goa
2007,10262,total,157.4895544581287,3586.4772338681546,goa
2009,10200,female,109.84101574199065,2151.4981832706303,goa
2009,10200,male,73.82084753907614,1374.498377141933,goa
2009,10200,total,158.8597126235429,2818.2956673908293,goa
2009,10261,female,105.73616720517586,768.0254766854245,goa
2009,10261,male,49.49357286190125,347.94627382789,goa
2009,10261,total,117.33572210082671,565.7528247904613,goa
2009,10262,female,114.61921287304595,1358.3619330245465,goa
2009,10262,male,71.28414710986179,367.8950463787549,goa
2009,10262,total,162.7111901068145,1200.986051198946,goa
2011,10200,female,86.00051949938664,1634.383804262877,goa
2011,10200,male,81.3568141739295,1207.2445795871122,goa
2011,10200,total,150.7137877273253,2477.716639950893,goa
2011,10261,female,69.25981029531681,651.0758043656745,goa
2011,10261,male,41.16321178888969,394.9608565501121,goa
2011,10261,total,102.11492624457875,1004.563199549608,goa
2011,10262,female,77.35128650078661,1739.7946548805928,goa
2011,10262,male,48.318080208232104,420.19516186626583,goa
2011,10262,total,115.11535960738628,1738.591357646039,goa
2013,10200,female,103.27557684602276,845.1359095227762,goa
2013,10200,male,69.94950661937061,569.8369812560368,goa
2013,10200,total,149.54554004327414,1099.3720052025894,goa
2013,10261,female,63.43383506562625,485.85926148597025,goa
2013,10261,male,42.872571975473505,225.63170041918872,goa
2013,10261,total,93.97042792264216,428.286023992797,goa
2013,10262,female,94.54251681275318,1181.986221331827,goa
2013,10262,male,58.32033892473705,602.286809195769,goa
2013,10262,total,142.042669451233,1557.9908893402692,goa
2015,10200,female,56.539219976655176,1346.4347827131153,goa
2015,10200,male,44.130981494041606,719.4960680549037,goa
2015,10200,total,93.75974115508376,1494.4287734143752,goa
2015,10261,female,91.46159470737864,711.6115736026403,goa
2015,10261,male,69.85471760074849,390.4757632232974,goa
2015,10261,total,136.68166522324282,817.8758621130214,goa
2015,10262,female,97.68320618695807,1402.1002597671766,goa
2015,10262,male,61.529762769652265,682.9455482629414,goa
2015,10262,total,147.60448065938877,2000.264069879407,goa
2017,10200,female,156.36370065381112,1006.18697577517,goa
2017,10200,male,114.85545981660036,491.4812551973796,goa
2017,10200,total,247.12581741601355,1210.677941842414,goa
2017,10261,female,130.29955536175646,696.9766330553227,goa
2017,10261,male,69.7882993118249,409.7651889679347,goa
2017,10261,total,167.26867092012046,938.7761605424446,goa
2017,10262,female,157.54216070578485,793.07676149576,goa
2017,10262,male,99.35955310771908,414.65566370364127,goa
2017,10262,total,223.91568418291507,1064.5472723040846,goa
2019,10200,female,197.311629859778,1201.2060964492082,goa
2019,10200,male,140.6687664985695,800.8382524572228,goa
2019,10200,total,302.4463721139038,1583.9629338363782,goa
2019,10262,female,231.37506514819552,1343.260106645636,goa
2019,10262,male,106.8044971802595,626.1424736527708,goa
2019,10262,total,317.01472911134573,1894.4290977992264,goa
2021,10262,female,263.59611085558214,1674.3388059264769,goa
2021,10262,male,114.03819510268605,592.4457558819505,goa
2021,10262,total,353.4862896218917,1902.8060046055552,goa
1990,3005012,female,35.74630627525922,318.8364149007781,goa
1990,3005012,male,32.11268293275006,312.1972568770065,goa
1990,3005012,total,59.7733297995124,430.4571204162328,goa
1993,3005012,female,111.84679346658072,398.5868356194502,goa
1993,3005012,male,117.35536981635278,339.20743891659095,goa
1993,3005012,total,202.09910020570985,481.8399473252716,goa
1996,3005012,female,115.90395115166106,458.6330783376201,goa
1996,3005012,male,123.5216135771593,455.446983818019,goa
1996,3005012,total,206.3632250245402,722.0765057168019,goa
1999,3005012,female,110.05340994925572,473.13389714992735,goa
1999,3005012,male,98.226193406724,416.29890689813567,goa
1999,3005012,total,179.63193628074794,619.7016721792136,goa
2003,3005012,female,91.66665099506368,428.6615120520143,goa
2003,3005012,male,87.01180185129168,430.4051506188714,goa
2003,3005012,total,166.26268638752256,684.4505547340079,goa
2005,3005012,female,86.84456440096027,473.3949615227976,goa
2005,3005012,male,95.20896766761072,499.76820821946654,goa
2005,3005012,total,168.02955547683447,780.3677346365615,goa
2007,3005012,female,91.41604106000284,503.63915442404584,goa
2007,3005012,male,73.10958828608739,460.9481696548336,goa
2007,3005012,total,152.7690946210215,690.3311925961299,goa
2009,3005012,female,151.26855425866228,475.7175443245469,goa
2009,3005012,male,146.13326927141577,498.24503483874287,goa
2009,3005012,total,272.58653857649267,698.9560383050573,goa
2011,3005012,female,66.66469664074471,344.3117280597774,goa
2011,3005012,male,77.13301015632204,360.98779996657834,goa
2011,3005012,total,131.82020557215063,554.9759613929388,goa
2013,3005012,female,158.85715011090323,235.79508671840696,goa
2013,3005012,male,155.2431858810291,233.85213877297772,goa
2013,3005012,total,276.2624081866858,383.6142140988045,goa
2015,3005012,female,85.06776593553937,338.2587780957518,goa
2015,3005012,male,82.82333815233908,355.22764305410533,goa
2015,3005012,total,165.52377135414253,612.3251043469471,goa
2017,3005012,female,80.73309965013286,291.801185688802,goa
2017,3005012,male,80.15713172979541,284.90310428753503,goa
2017,3005012,total,145.9859652257687,460.7165537403492,goa
2019,3005012,female,32.86022961299993,88.2082660310501,goa
2019,3005012,male,32.56408715157331,110.57301721523868,goa
2019,3005012,total,57.042120323427696,120.13421832043622,goa
2021,3005012,female,52.86789308792442,306.1076530036666,goa
2021,3005012,male,49.89815246179872,314.20665168000676,goa
2021,3005012,total,100.70142375487576,564.6159288739966,goa
1990,301502,female,8.699585399876305,73.26273337701645,goa
1990,301502,male,8.327568401437512,68.97746481439309,goa
1990,301502,total,17.884418239767154,109.00675760063508,goa
1993,301502,female,39.410252381636894,81.84855839121295,goa
1993,301502,male,33.80133414337208,77.19926368742018,goa
1993,301502,total,47.43300866194242,95.26239543568836,goa
1996,301502,female,63.09211266722901,106.6070586472221,goa
1996,301502,male,69.68547558228006,84.40125366724263,goa
1996,301502,total,108.9491842860993,156.17353982725797,goa
1999,301502,female,34.332405511488226,173.34506298193386,goa
1999,301502,male,15.00794533461564,114.04673835590704,goa
1999,301502,total,45.00124136423417,213.10779786043025,goa
2001,301502,female,81.43607044822727,133.97992343342852,goa
2001,301502,male,60.51796699330917,94.89597375098892,goa
2001,301502,total,97.07177275227038,151.67471612062008,goa
2003,301502,female,7.732322738650278,58.433363386432305,goa
2003,301502,male,7.93299161104921,39.56722724501936,goa
2003,301502,total,10.94155022539752,55.39853139068904,goa
2005,301502,female,62.81502058173796,163.7397530080543,goa
2005,301502,male,56.85360578477449,110.39593554928835,goa
2005,301502,total,90.97580107291986,175.6785425387441,goa
2007,301502,female,77.2068481327218,141.69983905857126,goa
2007,301502,male,57.54997711190775,80.92497121113139,goa
2007,301502,total,104.60544007883271,147.40206722714126,goa
2009,301502,female,83.8448845654148,158.04503017231687,goa
2009,301502,male,62.44476027555229,156.41047038390997,goa
2009,301502,total,124.10663027986315,219.7912308402609,goa
2011,301502,female,85.7381218882996,141.8560351474573,goa
2011,301502,male,70.10575544001648,108.11574844875696,goa
2011,301502,total,142.3356377453051,222.46308000408567,goa
2013,301502,female,76.86122928173167,136.10576463668278,goa
2013,301502,male,77.26545394178402,158.88172711253625,goa
2013,301502,total,146.49746881932862,236.1011649950116,goa
2015,301502,female,111.20288471005944,279.29912009482047,goa
2015,301502,male,84.11078409343718,237.16368466436296,goa
2015,301502,total,177.43763265393568,413.8636077944502,goa
2017,301502,female,89.46812381523824,216.53739228218595,goa
