year,species_code,comp_type,ae,ae_al,al,base,region
2005,21720,female,53.44626023318189,33.7477128476476,36.84596196840052,60.78072747298174,goa
2005,21720,male,60.641038528119445,28.952865370873244,26.963493438310177,68.4918112529451,goa
2005,21720,total,77.35992528897651,36.60500215188706,37.091246425850485,87.86271780335373,goa
2007,10130,female,133.71552859963214,120.7347293026434,146.64124004161664,172.2601850316505,goa
2007,10130,male,105.34234754283888,81.17476617156744,89.82980342543203,118.12535588350867,goa
2007,10130,total,175.43019532653625,149.12382686716882,231.23383975399565,272.6716995093242,goa
2007,21720,female,33.1310510335755,35.701975588629914,36.62683876666108,33.27039180108552,goa
2007,21720,male,39.52439737841773,38.11504156777313,35.3924482091343,37.1038507562864,goa
2007,21720,total,40.92658380682725,42.40540342381563,41.27290424285014,39.226463773291755,goa
2009,10130,female,134.1370389879944,118.59779022615218,121.86610697356552,139.62153865136116,goa
2009,10130,male,114.31866639007411,113.2524870501778,98.6824044192537,118.109992363226,goa
2009,10130,total,223.03573931079796,227.069080416366,227.5211962413541,237.53604569469093,goa
2009,21720,female,81.28857764060758,53.36418374113305,59.40316744484712,75.89242248006185,goa
2009,21720,male,59.04755204757782,33.06946914740477,37.94038320895071,74.04918268465399,goa
2009,21720,total,15.632832082551197,16.276113125168017,15.396437094499747,13.52019444772094,goa
2011,10130,female,116.62159655041184,72.05124349170097,69.85387809971171,121.034847428495,goa
2011,10130,male,69.73580481475759,67.32356878913589,64.3910943604077,66.83703661145172,goa
2011,10130,total,151.6497907216374,127.1448191501052,133.81957191364668,158.0035355811267,goa
2011,21720,female,63.91377352814142,34.711791651569854,50.67220669085562,91.46082914910563,goa
2011,21720,male,85.01109673841982,57.81999062856506,74.77752644934367,102.62668283379377,goa
2011,21720,total,90.92458802831352,49.56467914836703,73.54674147958283,128.43705115911908,goa
2013,10130,female,136.27125677888125,106.89127883843408,80.8463168255174,115.56115014075492,goa
2013,10130,male,76.40899476549272,76.8554308789905,76.03132097007426,84.8494952769571,goa
2013,10130,total,188.19743851857336,164.2743113765651,157.19687669211814,192.5987756506717,goa
2013,21720,female,77.9243102152699,78.64926085240702,71.54505165977855,76.09204162224101,goa
2013,21720,male,56.337271813040736,53.131596162464625,51.945549612772155,55.02089802647709,goa
2013,21720,total,73.91161606986462,71.9507125508977,68.18433317247117,72.18724621114437,goa
2015,10130,female,145.29261659153585,106.73697505484807,111.66346393908924,185.0347169675086,goa
2015,10130,male,138.07706290166226,105.6591060160296,97.31383450217794,152.54907243272876,goa
2015,10130,total,250.21269501568912,193.16637751339005,215.01816805619313,315.8084950322697,goa
2015,21720,female,91.34684750588016,42.316969966702594,51.4930999897173,107.48365337930268,goa
2015,21720,male,67.98329584367686,36.47141212543678,50.64638146471082,95.61061310578565,goa
2015,21720,total,95.7246155138202,42.76395921392964,57.83944086082316,133.40752801453928,goa
2017,10130,female,48.70487188502519,46.38065789261576,64.89894767864672,85.13096080020908,goa
2017,10130,male,48.04734091792694,39.92418744544099,45.3569578865523,92.28874354900496,goa
2017,10130,total,82.43613301805172,76.19495992335216,111.79960283100598,175.440311959154,goa
2017,21720,female,53.72219212898329,49.790776525328575,52.98866088191272,62.90748776567026,goa
2017,21720,male,32.361628203497744,33.725528652986704,39.30857189373306,53.11193695067216,goa
2017,21720,total,60.08428822108722,55.463336467499495,63.96243386251712,91.55375641593903,goa
2019,10130,female,47.68200315743984,47.534529013205095,48.41793441654191,66.23923453056366,goa
2019,10130,male,60.63659931066243,47.17493378994595,44.66010311500964,77.49205485542649,goa
2019,10130,total,103.15123792391891,92.9229320897896,94.24133474709738,130.60476840510762,goa
2019,21720,female,48.243332646906026,23.880913522692712,22.6608315550677,43.570428354628525,goa
2019,21720,male,40.00760458820598,19.37605558524555,21.50324265085704,46.4893528003655,goa
2019,21720,total,55.44604240307372,24.27448696583431,24.907130701109224,56.29687822115135,goa
2021,10130,female,54.805955804597154,32.344559432563,34.22146399358037,90.09936330359132,goa
2021,10130,male,69.7756821865241,55.52112881056232,63.22142850612976,88.95756968200453,goa
2021,10130,total,126.25420735798676,85.14793169028336,87.5677511082827,170.50364700154554,goa
2021,21720,female,87.24163213939092,40.36523835892789,39.221454110032525,110.33175017138012,goa
